frame,left_elbow,right_elbow,left_knee,right_knee
176,130.37,108.51,177.74,173.11
177,129.34,109.04,178.08,173.57
178,103.7,111.0,177.25,174.74
179,100.15,117.32,176.16,175.32
180,118.42,119.62,174.68,177.92
181,101.06,120.17,175.85,174.96
182,111.72,117.6,174.51,178.09
183,105.64,123.24,175.82,174.46
184,104.14,119.57,175.28,174.65
185,103.9,113.53,175.08,173.97
186,99.57,115.2,174.85,173.08
187,94.83,108.75,175.74,170.27
188,86.84,91.8,178.03,169.69
189,81.2,80.0,177.87,169.18
190,78.46,63.75,176.74,169.88
191,85.08,76.01,177.48,173.98
192,78.75,59.03,176.09,175.57
193,62.74,34.06,175.06,179.15
194,70.51,43.63,174.7,179.37
195,74.96,44.74,174.63,178.93
196,81.2,52.01,174.2,179.73
197,81.9,44.74,175.25,179.29
198,89.34,64.12,176.76,175.61
199,77.14,46.43,177.44,174.16
200,82.81,51.35,178.04,175.4
201,78.66,41.96,176.3,173.52
202,93.7,40.29,176.25,177.37
203,76.68,43.58,173.85,174.87
204,84.0,30.61,174.57,174.99
205,58.01,16.19,172.82,175.75
206,60.83,11.37,174.47,176.69
207,32.53,2.41,175.61,173.5
208,14.12,2.04,171.56,176.01
209,1.27,12.11,171.73,176.64
210,12.85,17.03,172.26,175.71
211,58.06,23.03,172.4,174.73
212,70.37,41.09,171.01,175.93
213,71.53,41.15,170.77,176.15
214,122.58,116.62,173.93,171.76
215,133.93,138.09,176.54,171.07
216,152.46,159.75,178.76,174.7
217,152.42,159.58,178.67,174.75
218,156.51,161.83,172.95,179.02
219,156.44,161.78,173.01,178.92
220,160.4,159.61,174.46,177.42
221,161.56,161.49,177.5,174.68
222,162.56,159.41,177.0,176.47
223,163.73,166.42,174.89,179.79
224,165.67,168.49,175.27,179.7
225,164.09,166.7,178.33,175.89
226,164.67,167.37,178.39,175.81
227,163.03,168.86,179.61,175.66
228,160.42,169.01,179.98,175.47
229,156.97,164.74,178.61,175.59
230,152.8,160.91,178.43,175.48
231,147.29,157.13,178.36,174.78
232,142.59,155.88,176.69,175.73
233,145.34,155.61,176.75,176.53
234,145.87,149.18,177.45,175.16
235,142.61,142.34,177.91,174.14
236,143.06,129.26,174.89,173.97
237,145.28,128.8,174.79,174.53
238,133.78,128.09,178.41,174.88
239,153.66,143.19,175.64,174.82
240,159.74,157.03,176.55,175.72
241,159.22,163.32,179.83,172.51
242,157.52,162.72,179.57,172.49
243,157.57,163.16,179.45,172.5
244,160.26,160.46,176.67,173.06
245,158.86,155.13,174.92,174.32
246,158.66,155.15,174.94,174.38
247,161.54,153.27,176.76,172.1
248,163.06,153.93,176.42,172.78
249,165.12,153.26,175.6,174.16
250,165.97,155.87,175.32,174.82
251,167.67,156.15,173.83,176.34
252,167.47,160.44,173.43,176.88
253,154.6,161.14,176.46,176.38
254,150.74,166.25,175.31,175.64
255,147.17,168.3,175.7,175.12
256,140.61,167.5,176.41,174.82
257,132.65,159.85,177.8,175.5
258,135.2,157.83,178.83,175.61
259,128.19,153.98,178.34,175.39
260,124.09,148.03,177.23,175.39
261,124.28,147.99,177.34,175.45
262,127.31,146.42,175.41,175.59
263,134.22,149.3,175.31,175.56
264,139.64,153.29,174.59,176.15
265,153.63,152.75,179.25,177.06
266,155.59,155.55,179.91,177.85
267,155.73,158.14,174.64,175.6
268,156.93,156.61,179.36,174.37
269,155.58,156.88,179.51,172.71
270,156.77,157.06,179.92,172.64
271,156.2,155.86,179.43,173.05
272,156.18,158.97,176.27,171.62
